,session,unit_id,isi_violations,sd_log,r2,bl_len,acg_1,acg_last
66,ecephys_684930_2023-09-27_10-04-04,311.0,0.3191558145891043,-1.223809995727664,0.9335013320156256,389.03999999999996,0.042172382819778864,0.003769080498281692
67,ecephys_684930_2023-09-27_10-04-04,318.0,0.0720875351466982,-1.1888066246770015,0.6775619452580088,911.76,0.015405167770349653,-0.004257199683849472
68,ecephys_684930_2023-09-27_10-04-04,331.0,0.0652336072659919,-1.0484007441878471,0.2548064876012482,911.76,-0.03463568614683151,0.0033342055875570974
69,ecephys_684930_2023-09-27_10-04-04,336.0,0.1636757649010329,-1.069810957602689,0.0986266700104049,911.76,-0.07881887943193228,-0.0022443600357323758
70,ecephys_684930_2023-09-27_10-04-04,445.0,0.3125809632853742,-1.02875437951238,0.7927491568286278,911.76,0.04005589485855817,-0.003953554650234504
71,ecephys_684930_2023-09-27_10-04-04,446.0,0.0,-1.2339494594483154,0.4973427132023058,911.76,0.0490267121736238,0.0005763960225318654
72,ecephys_684930_2023-09-27_10-04-04,447.0,0.0639156025226179,-1.1702758294603586,0.9575930506982536,189.03,-0.07235726399095505,-0.0004766629486335088
73,ecephys_684930_2023-09-27_10-04-04,448.0,0.374162417519157,-1.2461009208239726,0.8786622078499979,911.76,0.08339031402267691,0.0013162725428783751
74,ecephys_684930_2023-09-27_10-04-04,450.0,0.0808538384925553,-1.251128927775828,0.9413861475834818,189.03,-0.08825931659982214,-0.004744989685044325
75,ecephys_684930_2023-09-28_11-45-27,13.0,0.0422736770965188,-1.4376914575674187,0.3039026925600284,912.66,-0.06621592408994027,-0.0027521825478944934
76,ecephys_684930_2023-09-28_11-45-27,14.0,0.0629573450484794,-1.1254307602375193,0.8962453863246326,912.66,-0.06249999328852255,0.009007351938788606
77,ecephys_684930_2023-09-28_11-45-27,16.0,0.1549356281777064,-1.6602520341320732,0.4720746889822447,912.66,-0.07193362586694013,-0.0031434509357199454
78,ecephys_684930_2023-09-28_11-45-27,19.0,0.0538220733052589,-0.9759448438592023,0.5402856029800063,912.66,-0.052664360939200086,0.010260666352496799
79,ecephys_684930_2023-09-28_11-45-27,24.0,0.0452181600224921,-1.3683353666466351,0.9353870682712312,912.66,-0.0552687420784612,0.002150118424333439
80,ecephys_684930_2023-09-28_11-45-27,25.0,0.0631256140672843,-1.534119131187271,0.7511156666263996,912.66,-0.11531141017206044,0.011109268384488329
81,ecephys_684930_2023-09-28_11-45-27,32.0,0.0286861916906142,-1.4999507739447702,0.4800391387704477,912.66,0.004192946386590893,-0.009238964497275685
82,ecephys_684930_2023-09-28_11-45-27,39.0,0.0714526786910445,-1.3803540561077277,0.7893405798642268,912.66,-0.01780492282248277,-0.0009739133918775836
