session_id,raw_data,old_id
behavior_749624_2025-01-09_12-39-56,4a4af9f5-577b-4a6e-8d46-d6c9c504ac0c,m749624d20250109
behavior_754895_2024-12-31_19-19-16,20020fea-3a13-436d-84f4-e687c918b024,m754895d20241231
behavior_754895_2025-01-02_15-15-18,fe5642ed-0902-4e76-b194-6951bf4885a2,m754895d20250102
behavior_754895_2025-01-03_16-09-32,6f4aff7f-654e-4ca9-bbbc-87552ea892cb,m754895d20250103
behavior_754895_2025-01-04_15-19-09,0d0a9f5a-9186-421a-a606-7686931d72b4,m754895d20250104
behavior_754895_2025-01-06_14-47-04,830cef0b-22e4-40db-9259-ea263410bd2e,m754895d20250106
behavior_754895_2025-01-07_13-05-29,84d12620-df17-41d9-a5ae-e5e5de8b9250,m754895d20250107
behavior_754895_2025-01-08_14-38-56,ff3daf85-ee1d-48e1-8d96-94cea2222e57,m754895d20250108
behavior_754895_2025-01-09_15-08-04,de1faaf2-393b-48db-88c9-8d7295f7a5d4,m754895d20250109
behavior_754896_2025-01-02_00-00-00,3f433836-2dfd-4ddd-8ced-de25853904f6,m754896d20250102
behavior_754896_2025-01-03_17-20-19,e9fc7df6-8e0e-436f-a71e-1b8e651f016d,m754896d20250103
behavior_754896_2025-01-04_17-25-58,e0d0434d-fe50-49f5-8dd8-78a6d262f854,m754896d20250104
behavior_754896_2025-01-06_16-37-09,9903ad2c-d0f8-4863-918d-0ce920120f95,m754896d20250106
behavior_754896_2025-01-07_14-08-54,4aebec03-5eee-40d1-b55c-a507d271395c,m754896d20250107
behavior_754896_2025-01-08_16-03-27,1d308954-031d-4668-8484-031259e72e8c,m754896d20250108
behavior_754896_2025-01-09_16-22-47,cd0a7714-c475-4d87-b1ed-f0798284a2b9,m754896d20250109
behavior_754898_2024-12-26_16-22-54,74735be1-9ce3-4887-9b3a-f54682f84231,m754898d20241226
behavior_754898_2024-12-28_19-23-45,b15c5d7d-f12a-4df4-aba7-01107dab8287,m754898d20241228
behavior_754898_2024-12-30_17-40-08,7645676c-a4fd-4a0e-8b01-d578f5cd9e0f,m754898d20241230
behavior_754898_2025-01-01_20-40-03,6cb38bad-4959-422d-87aa-cef3584fbb90,m754898d20250101
behavior_754898_2025-01-02_17-54-29,801986b2-1ead-4ddb-af7a-94ea9c0ed483,m754898d20250102
behavior_754898_2025-01-04_18-49-39,4fd0e6b6-b8a0-4b76-b94f-107575d96d91,m754898d20250104
behavior_754898_2025-01-06_17-49-54,58d530b3-125a-43a6-94f1-41e078e7f8d3,m754898d20250106
behavior_754898_2025-01-07_17-35-38,7ce93b92-d8a6-481d-b5ee-2c0915ee9c93,m754898d20250107
behavior_754898_2025-01-08_17-48-59,00f60af2-787c-429f-895e-205010983e1e,m754898d20250108
behavior_754898_2025-01-09_17-44-04,0bf21dcf-93c0-436e-bc06-aed5dc936c7b,m754898d20250109
